Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2000-03-29,2000,3,29,1,2,13,0,0,March,Wednesday
2000-03-30,2000,3,30,1,3,13,0,0,March,Thursday
2000-03-31,2000,3,31,1,4,13,0,0,March,Friday
2000-04-01,2000,4,1,2,5,13,1,0,April,Saturday
2000-04-02,2000,4,2,2,6,13,1,0,April,Sunday
2000-04-03,2000,4,3,2,0,14,0,0,April,Monday
2000-04-04,2000,4,4,2,1,14,0,0,April,Tuesday
2000-04-05,2000,4,5,2,2,14,0,0,April,Wednesday
2000-04-06,2000,4,6,2,3,14,0,0,April,Thursday
2000-04-07,2000,4,7,2,4,14,0,0,April,Friday
2000-04-08,2000,4,8,2,5,14,1,0,April,Saturday
2000-04-09,2000,4,9,2,6,14,1,0,April,Sunday
2000-04-10,2000,4,10,2,0,15,0,0,April,Monday
2000-04-11,2000,4,11,2,1,15,0,0,April,Tuesday
2000-04-12,2000,4,12,2,2,15,0,0,April,Wednesday
2000-04-13,2000,4,13,2,3,15,0,0,April,Thursday
2000-04-14,2000,4,14,2,4,15,0,0,April,Friday
2000-04-15,2000,4,15,2,5,15,1,0,April,Saturday
2000-04-16,2000,4,16,2,6,15,1,0,April,Sunday
2000-04-17,2000,4,17,2,0,16,0,0,April,Monday
2000-04-18,2000,4,18,2,1,16,0,0,April,Tuesday
2000-04-19,2000,4,19,2,2,16,0,0,April,Wednesday
2000-04-20,2000,4,20,2,3,16,0,0,April,Thursday
2000-04-21,2000,4,21,2,4,16,0,0,April,Friday
2000-04-22,2000,4,22,2,5,16,1,0,April,Saturday
2000-04-23,2000,4,23,2,6,16,1,0,April,Sunday
2000-04-24,2000,4,24,2,0,17,0,0,April,Monday
2000-04-25,2000,4,25,2,1,17,0,0,April,Tuesday
2000-04-26,2000,4,26,2,2,17,0,0,April,Wednesday
2000-04-27,2000,4,27,2,3,17,0,0,April,Thursday
2000-04-28,2000,4,28,2,4,17,0,0,April,Friday
2000-04-29,2000,4,29,2,5,17,1,0,April,Saturday
2000-04-30,2000,4,30,2,6,17,1,0,April,Sunday
2000-05-01,2000,5,1,2,0,18,0,0,May,Monday
2000-05-02,2000,5,2,2,1,18,0,0,May,Tuesday
2000-05-03,2000,5,3,2,2,18,0,0,May,Wednesday
2000-05-04,2000,5,4,2,3,18,0,0,May,Thursday
2000-05-05,2000,5,5,2,4,18,0,0,May,Friday
2000-05-06,2000,5,6,2,5,18,1,0,May,Saturday
2000-05-07,2000,5,7,2,6,18,1,0,May,Sunday
2000-05-08,2000,5,8,2,0,19,0,0,May,Monday
2000-05-09,2000,5,9,2,1,19,0,0,May,Tuesday
2000-05-10,2000,5,10,2,2,19,0,0,May,Wednesday
2000-05-11,2000,5,11,2,3,19,0,0,May,Thursday
2000-05-12,2000,5,12,2,4,19,0,0,May,Friday
2000-05-13,2000,5,13,2,5,19,1,0,May,Saturday
2000-05-14,2000,5,14,2,6,19,1,0,May,Sunday
2000-05-15,2000,5,15,2,0,20,0,0,May,Monday
2000-05-16,2000,5,16,2,1,20,0,0,May,Tuesday
2000-05-17,2000,5,17,2,2,20,0,0,May,Wednesday
2000-05-18,2000,5,18,2,3,20,0,0,May,Thursday
