Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2020-03-29,2020,3,29,1,6,13,1,0,March,Sunday
2020-03-30,2020,3,30,1,0,14,0,0,March,Monday
2020-03-31,2020,3,31,1,1,14,0,0,March,Tuesday
2020-04-01,2020,4,1,2,2,14,0,0,April,Wednesday
2020-04-02,2020,4,2,2,3,14,0,0,April,Thursday
2020-04-03,2020,4,3,2,4,14,0,0,April,Friday
2020-04-04,2020,4,4,2,5,14,1,0,April,Saturday
2020-04-05,2020,4,5,2,6,14,1,0,April,Sunday
2020-04-06,2020,4,6,2,0,15,0,0,April,Monday
2020-04-07,2020,4,7,2,1,15,0,0,April,Tuesday
2020-04-08,2020,4,8,2,2,15,0,0,April,Wednesday
2020-04-09,2020,4,9,2,3,15,0,0,April,Thursday
2020-04-10,2020,4,10,2,4,15,0,0,April,Friday
2020-04-11,2020,4,11,2,5,15,1,0,April,Saturday
2020-04-12,2020,4,12,2,6,15,1,0,April,Sunday
2020-04-13,2020,4,13,2,0,16,0,0,April,Monday
2020-04-14,2020,4,14,2,1,16,0,0,April,Tuesday
2020-04-15,2020,4,15,2,2,16,0,0,April,Wednesday
2020-04-16,2020,4,16,2,3,16,0,0,April,Thursday
2020-04-17,2020,4,17,2,4,16,0,0,April,Friday
2020-04-18,2020,4,18,2,5,16,1,0,April,Saturday
2020-04-19,2020,4,19,2,6,16,1,0,April,Sunday
2020-04-20,2020,4,20,2,0,17,0,0,April,Monday
2020-04-21,2020,4,21,2,1,17,0,0,April,Tuesday
2020-04-22,2020,4,22,2,2,17,0,0,April,Wednesday
2020-04-23,2020,4,23,2,3,17,0,0,April,Thursday
2020-04-24,2020,4,24,2,4,17,0,0,April,Friday
2020-04-25,2020,4,25,2,5,17,1,0,April,Saturday
2020-04-26,2020,4,26,2,6,17,1,0,April,Sunday
2020-04-27,2020,4,27,2,0,18,0,0,April,Monday
2020-04-28,2020,4,28,2,1,18,0,0,April,Tuesday
2020-04-29,2020,4,29,2,2,18,0,0,April,Wednesday
2020-04-30,2020,4,30,2,3,18,0,0,April,Thursday
2020-05-01,2020,5,1,2,4,18,0,0,May,Friday
2020-05-02,2020,5,2,2,5,18,1,0,May,Saturday
2020-05-03,2020,5,3,2,6,18,1,0,May,Sunday
2020-05-04,2020,5,4,2,0,19,0,0,May,Monday
2020-05-05,2020,5,5,2,1,19,0,0,May,Tuesday
2020-05-06,2020,5,6,2,2,19,0,0,May,Wednesday
2020-05-07,2020,5,7,2,3,19,0,0,May,Thursday
2020-05-08,2020,5,8,2,4,19,0,0,May,Friday
2020-05-09,2020,5,9,2,5,19,1,0,May,Saturday
2020-05-10,2020,5,10,2,6,19,1,0,May,Sunday
2020-05-11,2020,5,11,2,0,20,0,0,May,Monday
2020-05-12,2020,5,12,2,1,20,0,0,May,Tuesday
2020-05-13,2020,5,13,2,2,20,0,0,May,Wednesday
2020-05-14,2020,5,14,2,3,20,0,0,May,Thursday
2020-05-15,2020,5,15,2,4,20,0,0,May,Friday
2020-05-16,2020,5,16,2,5,20,1,0,May,Saturday
2020-05-17,2020,5,17,2,6,20,1,0,May,Sunday
2020-05-18,2020,5,18,2,0,21,0,0,May,Monday
2020-05-19,2020,5,19,2,1,21,0,0,May,Tuesday
2020-05-20,2020,5,20,2,2,21,0,0,May,Wednesday
2020-05-21,2020,5,21,2,3,21,0,0,May,Thursday
2020-05-22,2020,5,22,2,4,21,0,0,May,Friday
2020-05-23,2020,5,23,2,5,21,1,0,May,Saturday
